,count
"""this",3
context,3
AM,3
year.,3
Another,3
Y'all,3
catch,3
"them,",3
worried,3
3.,3
great,3
"you.""",3
several,3
worst,3
hot,3
water,3
mental,3
folders,3
helped,3
out.,3
secret,3
you've,3
hates,3
possible,3
ask,3
foot,3
family,3
trans,3
"now,",3
girl,3
💯,3
Nah,3
enough.,3
potential,3
high,3
*me,3
*checks,3
face,3
sent,3
kids,3
vitamin,3
Matt,3
opinion,3
definitely,3
😤,3
"weekend?""",3
Can,3
"quo,",3
Are,3
here.,3
Gang,3
keeping,3
school,3
"Me,",3
half,3
legit,3
this.,3
"day,",3
relationship,3
voice,3
mistakes,3
driving,3
speaks,3
speaking,3
"car,",3
Life,3
rather,3
plan,3
almost,3
mass,3
🥰,3
dumb,3
story,3
fuck,3
groupme,3
telling,3
conservation,3
mood.,3
weekend,3
pass,3
very,3
aluminum,3
7,3
See,3
"""God",3
uh...,3
couldn't,3
avoid,3
"""What",3
you?,3
Usually,3
plans*,3
square,3
More,3
eventually,3
idea,3
times,3
build,3
night,3
act,3
laundry,3
solution,3
teeth,3
stress,3
must,3
die,3
living,3
sleep,3
entire,3
seemed,3
January,3
lays,2
symbolic,2
Place,2
MSFC,2
game,2
"wreck,",2
Several,2
endless,2
each,2
smaller,2
6.,2
checked,2
gender,2
truck,2
led,2
Let,2
B,2
dry,2
highlighter,2
"""Hey,",2
heart,2
recruiter's,2
south,2
Where's,2
dark,2
No,2
action,2
Although,2
wonders,2
🌮,2
wanna,2
wash,2
lost,2
higher,2
coworkers,2
lie,2
essay,2
fundip*,2
adapter,2
listless,2
feet,2
"""Yes,""",2
Only,2
"hands,",2
deeply,2
*snorts,2
required,2
soul,2
now.,2
wandering,2
skateboard,2
leaving,2
Space,2
also:,2
decades,2
middle,2
ask.,2
spicy,2
Dentist,2
person.,2
payload,2
waiting,2
informed,2
fancy,2
holiday,2
eggs,2
presence,2
sour,2
fish,2
cold,2
blame,2
absolutely,2
attack.,2
good.,2
permanently,2
20,2
tough,2
alarm,2
wait,2
fixing,2
mine,2
acquired,2
Kinda,2
Definitely,2
clever,2
highest,2
therapy,2
hobby,2
6:30,2
share,2
anything.,2
impact,2
okay,2
icemaker,2
Origin,2
encrypted,2
believe,2
7:45,2
night.,2
slowly,2
realm,2
Brb,2
note,2
Full,2
impersonating,2
honor,2
Doctor:,2
judging,2
wfh,2
Build,2
does,2
"mean,",2
Join,2
Walmart,2
happening,2
stomach,2
Add,2
Send,2
desperate,2
savings,2
Go,2
early,2
Welcome,2
carrying,2
"""Sure",2
backyard,2
norm.,2
appeal,2
meet,2
issues,2
march,2
lights,2
mention,2
neighbor,2
enjoy,2
People,2
"""you",2
followed,2
geometry,2
25,2
BS,2
fresh,2
"shit,",2
filtered,2
waiter,2
asks,2
5%,2
alternative,2
attention,2
engaging,2
Friend:,2
"though,",2
lay,2
challenging,2
"away,",2
💀,2
breath,2
relationships,2
trade,2
reply.,2
dress,2
hygiene,2
"""But",2
10.,2
"do,",2
shoulder,2
Like,2
"""When's",2
death,2
ball,2
cars,2
hides,2
requires,2
save,2
task,2
ground,2
Last,2
closed,2
organization,2
SLS,2
per,2
hold,2
technology,2
inch,2
cargo,2
involved,2
arms,2
routine,2
"capable,",2
coat,2
response,2
universe,2
wrote,2
"memes,",2
heard,2
unapologetically,2
elasticity,2
"""Have",2
happened,2
choices,2
fold,2
Fuck,2
eyes,2
together,2
